epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.0685,2.12972,9.02314,0.01759,0.00081,0.20588,0.01433,0.00747,2.30371,12.9602,0.02563,0.00038341,0.00038341,0.00038341
2,146.732,1.86294,8.86298,0.01573,0.00165,0.34314,0.07641,0.02675,1.86992,11.669,0.01831,0.000767977,0.000767977,0.000767977
3,218.901,1.73924,8.06171,0.01384,0.00188,0.39216,0.05674,0.02088,2.0145,11.4422,0.02093,0.0011367,0.0011367,0.0011367
4,275.507,1.76469,6.71286,0.01333,0.00185,0.44118,0.10329,0.03885,1.88632,10.7848,0.01984,0.00148958,0.00148958,0.00148958
5,332.255,1.75728,6.38708,0.0142,0.71103,0.10784,0.10836,0.03952,1.88264,9.69638,0.01995,0.00153497,0.00153497,0.00153497
6,388.775,1.88834,6.16825,0.01479,0.72882,0.16667,0.16123,0.054,2.00972,8.97593,0.02111,0.00150197,0.00150197,0.00150197
7,445.149,1.80408,5.86323,0.01557,0.60449,0.20588,0.10278,0.03727,2.14672,9.39722,0.02199,0.00146896,0.00146896,0.00146896
8,501.458,1.96465,5.45233,0.01552,0.69886,0.05882,0.05026,0.01338,2.08832,9.10195,0.02094,0.00143595,0.00143595,0.00143595
9,557.087,1.90204,5.41364,0.01453,0.65528,0.17647,0.18391,0.05483,2.0702,6.8631,0.02114,0.00140295,0.00140295,0.00140295
10,613.086,1.95559,5.0045,0.01542,0.61937,0.08824,0.04933,0.01587,2.16852,7.43774,0.02266,0.00136994,0.00136994,0.00136994
11,669.042,1.8838,4.71469,0.01508,0.67578,0.18627,0.18289,0.06287,1.88665,6.06797,0.01942,0.00133693,0.00133693,0.00133693
12,724.56,1.82921,4.45552,0.0148,0.62376,0.18627,0.14036,0.05073,1.85536,5.75971,0.02078,0.00130393,0.00130393,0.00130393
13,780.535,1.82679,4.26164,0.01368,0.63549,0.13725,0.09689,0.03518,1.97061,6.00173,0.0219,0.00127092,0.00127092,0.00127092
14,837.134,1.85382,4.16682,0.01519,0.36768,0.27376,0.1703,0.06232,1.75735,4.96483,0.01801,0.00123791,0.00123791,0.00123791
15,894.14,1.84329,3.93617,0.01502,0.43852,0.26395,0.23413,0.0885,1.81609,4.59008,0.01843,0.00120491,0.00120491,0.00120491
16,950.84,1.81766,3.72578,0.01435,0.3918,0.25415,0.23619,0.0874,1.65726,4.35349,0.01682,0.0011719,0.0011719,0.0011719
17,1006.95,1.7376,3.62491,0.01445,0.25342,0.40117,0.25071,0.10003,1.67288,4.12887,0.01704,0.00113889,0.00113889,0.00113889
18,1062.52,1.72653,3.4507,0.01421,0.30229,0.33258,0.22304,0.09359,1.71559,4.08583,0.0169,0.00110589,0.00110589,0.00110589
19,1118.05,1.76979,3.24853,0.0142,0.19524,0.22549,0.2574,0.10564,1.7792,4.0196,0.01796,0.00107288,0.00107288,0.00107288
20,1174.22,1.72999,3.08801,0.0137,0.41496,0.32278,0.27778,0.10759,1.76921,3.94387,0.01821,0.00103987,0.00103987,0.00103987
21,1230.44,1.6971,3.04044,0.01517,0.2356,0.29336,0.25306,0.09531,1.86268,3.7813,0.01909,0.00100687,0.00100687,0.00100687
22,1286.75,1.78035,3.00993,0.01368,0.29356,0.35219,0.31867,0.12493,1.83995,3.38462,0.01942,0.000973861,0.000973861,0.000973861
23,1344.31,1.74205,2.94639,0.01562,0.17357,0.31373,0.2493,0.10261,1.78867,3.26208,0.01808,0.000940855,0.000940855,0.000940855
24,1402.54,1.73625,2.77377,0.01314,0.7363,0.30392,0.29416,0.11351,1.70319,3.21035,0.0171,0.000907848,0.000907848,0.000907848
25,1459.96,1.79329,2.75344,0.01347,0.26283,0.40084,0.30262,0.11008,1.7757,3.17404,0.01791,0.000874842,0.000874842,0.000874842
26,1517.5,1.66525,2.62706,0.01349,0.24756,0.40539,0.3017,0.11564,1.76809,3.2787,0.01747,0.000841835,0.000841835,0.000841835
27,1574.83,1.65403,2.58063,0.0134,0.29206,0.28431,0.30014,0.12763,1.8559,3.05277,0.01989,0.000808828,0.000808828,0.000808828
28,1631.42,1.66092,2.5404,0.0136,0.76718,0.31505,0.34135,0.14547,1.84094,2.82206,0.01909,0.000775822,0.000775822,0.000775822
29,1687.62,1.71396,2.47865,0.01406,0.19465,0.32353,0.29998,0.11684,1.87057,2.83678,0.01952,0.000742815,0.000742815,0.000742815
30,1743.86,1.68128,2.29884,0.01322,0.25451,0.35219,0.30378,0.11804,1.91199,2.7552,0.01943,0.000709809,0.000709809,0.000709809
31,1800.64,1.74691,2.29435,0.01393,0.30601,0.35762,0.31866,0.14365,1.85225,2.61753,0.01857,0.000676802,0.000676802,0.000676802
32,1857.48,1.62315,2.31885,0.01272,0.21948,0.35294,0.31994,0.13636,1.89177,2.68327,0.01934,0.000643795,0.000643795,0.000643795
33,1914.55,1.60237,2.26617,0.01338,0.2889,0.34983,0.34336,0.14488,1.78919,2.57924,0.01863,0.000610789,0.000610789,0.000610789
34,1970.97,1.56625,2.26224,0.01252,0.31934,0.35219,0.29959,0.12762,1.79971,2.62642,0.01847,0.000577782,0.000577782,0.000577782
35,2027.55,1.69451,2.21825,0.01315,0.30699,0.33258,0.26685,0.11172,1.77338,2.65996,0.01829,0.000544776,0.000544776,0.000544776
36,2085.21,1.62875,2.27292,0.01197,0.50914,0.40951,0.35199,0.15471,1.8659,2.49961,0.01913,0.000511769,0.000511769,0.000511769
37,2143.24,1.58595,2.19675,0.01342,0.51163,0.4231,0.37648,0.1733,1.8414,2.40472,0.01905,0.000478762,0.000478762,0.000478762
38,2200.84,1.63729,2.06033,0.01207,0.44932,0.47888,0.3961,0.1675,1.79955,2.36127,0.01885,0.000445756,0.000445756,0.000445756
39,2258.67,1.65923,2.15354,0.01247,0.45118,0.44924,0.42059,0.16749,1.77735,2.32786,0.01881,0.000412749,0.000412749,0.000412749
40,2316.08,1.62569,2.09298,0.01212,0.40063,0.43062,0.41458,0.16869,1.80413,2.28288,0.0189,0.000379743,0.000379743,0.000379743
41,2372.4,1.62974,2.11125,0.01512,0.40789,0.42081,0.40075,0.18168,1.79753,2.1995,0.01881,0.000346736,0.000346736,0.000346736
42,2428.79,1.54748,2.08049,0.01482,0.55188,0.36695,0.38354,0.18028,1.73697,2.23945,0.01805,0.000313729,0.000313729,0.000313729
43,2485.32,1.47188,2.05665,0.01276,0.41496,0.3816,0.38743,0.18645,1.66796,2.20306,0.01693,0.000280723,0.000280723,0.000280723
44,2541.07,1.4947,1.98513,0.01307,0.63103,0.33258,0.39905,0.18631,1.70296,2.16093,0.01732,0.000247716,0.000247716,0.000247716
45,2596.26,1.58524,1.94059,0.01438,0.52677,0.41101,0.43121,0.18461,1.7133,2.14814,0.01729,0.00021471,0.00021471,0.00021471
46,2651.37,1.55176,1.87215,0.01365,0.51234,0.42501,0.42469,0.18449,1.72792,2.15708,0.01732,0.000181703,0.000181703,0.000181703
47,2708.46,1.50984,1.93425,0.01343,0.49773,0.40121,0.41301,0.18237,1.68396,2.19736,0.01667,0.000148696,0.000148696,0.000148696
48,2766.53,1.50299,1.83873,0.01313,0.53982,0.3816,0.40589,0.17686,1.73004,2.19474,0.01738,0.00011569,0.00011569,0.00011569
49,2823.72,1.47881,1.80213,0.01333,0.46055,0.41104,0.4039,0.16955,1.74367,2.21476,0.01758,8.26832e-05,8.26832e-05,8.26832e-05
50,2880.14,1.48777,1.77664,0.01343,0.51675,0.42006,0.40549,0.1701,1.73274,2.23807,0.01752,4.96766e-05,4.96766e-05,4.96766e-05
